Model,Encoding,Dataset,Accuracy,n_repredicts
LSTM,Basic,BPI14,0.3,0.0
LSTM,Basic,Traffic,1.0,0.0
LSTM,Basic,Artificial,0.74,0.21
LSTM,SetsSeq,BPI14,0.29,0.0
LSTM,SetsSeq,Traffic,1.0,0.004
LSTM,SetsSeq,Artificial,0.80,0.95
LSTM,SetsSeqE,BPI14,0.29,0.0
LSTM,SetsSeqE,Traffic,1.0,0.002
LSTM,SetsSeqE,Artificial,0.84,0.95
Seq2Seq,Basic,BPI14,0.3,nAn
Seq2Seq,Basic,Traffic,0.99,nAn
Seq2Seq,Basic,Artificial,0.45,nAn
Seq2Seq,SetsSeq,BPI14,0.29,0.44
Seq2Seq,SetsSeq,Traffic,1.0,0.03
Seq2Seq,SetsSeq,Artificial,0.8,0.67	
Seq2Seq,SetsSeqE,BPI14,0.3,0.46
Seq2Seq,SetsSeqE,Traffic,1.0,0.03
Seq2Seq,SetsSeqE,Artificial,0.79,0.70

